Name,Short description,Last price,New price,Image name
Apple iPhone 14 Pro 128 ГБ Тёмно фиолетовый,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",31 999 лей,31 499 лей,darwin-apple-iphone-14-pro-6-gb-128-gb-dual-sim-deep-purple-021.jpg
Apple iPhone 14 Pro 512 ГБ Тёмно фиолетовый,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",38 999 лей,37 999 лей,darwin-apple-iphone-14-pro-6-gb-512-gb-dual-sim-deep-purple-078.jpg
Apple iPhone 14 128 ГБ Midnight,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,23 499 лей,darwin-apple-iphone-14-6-gb-128-gb-dual-sim-midnight-018.jpg
Apple iPhone 14 128 ГБ Красный,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,23 499 лей,darwin-apple-iphone-14-6-gb-128-gb-dual-sim-red-072.jpg
Apple iPhone 14 256 ГБ Starlight,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,25 999 лей,darwin-apple-iphone-14-6-gb-256-gb-dual-sim-starlight-070.jpg
Apple iPhone 14 Pro 256 ГБ Серебристый,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",33 999 лей,32 999 лей,darwin-apple-iphone-14-pro-6-gb-256-gb-dual-sim-silver-067.jpg
Apple iPhone 14 Pro Max 256 ГБ Золотой,"6.7"" | 48 Мп | 6 ГБ | Dual SIM",39 999 лей,37 999 лей,darwin-apple-iphone-14-pro-max-6-gb-256-gb-dual-sim-gold-021.jpg
Apple iPhone 14 Pro Max 256 ГБ Чёрный Космос Космос,"6.7"" | 48 Мп | 6 ГБ | Dual SIM",39 999 лей,37 999 лей,apple-iphone-14-pro-max-6-gb-256-gb-dual-sim-space-black-056.jpg
Apple iPhone 14 Pro 128 ГБ Золотой,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",31 999 лей,31 499 лей,darwin-apple-iphone-14-pro-6-gb-128-gb-dual-sim-gold-035.jpg
Apple iPhone 14 128 ГБ Синий,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,23 499 лей,darwin-apple-iphone-14-6-gb-128-gb-dual-sim-blue-050.jpg
Apple iPhone 14 Pro Max 1 ТБ Серебристый,"6.7"" | 48 Мп | 6 ГБ | Dual SIM",53 499 лей,49 999 лей,darwin-apple-iphone-14-pro-max-6-gb-1-tb-dual-sim-silver-014.jpg
Apple iPhone 14 Pro 1 ТБ Чёрный Космос,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",46 499 лей,43 999 лей,darwin-apple-iphone-14-pro-6-gb-1-tb-dual-sim-space-black-061.jpg
Apple iPhone 14 256 ГБ Пурпурный,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,25 999 лей,darwin-apple-iphone-14-6-gb-256-gb-dual-sim-purple-036.jpg
Apple iPhone 14 128 ГБ Starlight,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,23 499 лей,darwin-apple-iphone-14-6-gb-128-gb-dual-sim-starlight-040.jpg
Apple iPhone 14 Pro 1 ТБ Тёмно фиолетовый,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",46 499 лей,43 999 лей,darwin-apple-iphone-14-pro-6-gb-1-tb-dual-sim-deep-purple-066.jpg
Apple iPhone 14 Pro 256 ГБ Тёмно фиолетовый,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",33 999 лей,32 999 лей,darwin-apple-iphone-14-pro-6-gb-256-gb-dual-sim-deep-purple-031.jpg
Apple iPhone 14 Pro Max 256 ГБ Тёмно фиолетовый,"6.7"" | 48 Мп | 6 ГБ | Dual SIM",39 999 лей,37 999 лей,apple-iphone-14-pro-max-6-gb-256-gb-dual-sim-deep-purple-096.jpg
Apple iPhone 14 Pro Max 128 ГБ Тёмно фиолетовый,"6.7"" | 48 Мп | 6 ГБ | Dual SIM",36 999 лей,35 499 лей,apple-iphone-14-pro-max-6-gb-128-gb-dual-sim-deep-purple-080.jpg
Apple iPhone 14 Pro 512 ГБ Золотой,"6.1"" | 48 Мп | 6 ГБ | Dual SIM",38 999 лей,37 999 лей,darwin-apple-iphone-14-pro-512-gb-gold-143171.jpg
Apple iPhone 14 256 ГБ Синий,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,25 999 лей,darwin-apple-iphone-14-6-gb-256-gb-dual-sim-blue-044.jpg
Apple iPhone 14 128 ГБ Пурпурный,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,23 499 лей,darwin-apple-iphone-14-6-gb-128-gb-dual-sim-purple-073.jpg
Apple iPhone 14 256 ГБ Midnight,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,25 999 лей,darwin-apple-iphone-14-6-gb-256-gb-dual-sim-midnight-072.jpg
Apple iPhone 14 512 ГБ Midnight,"6.1"" | 12 Мп | 6 ГБ | Single SIM",24 499 лей,23 499 лей,darwin-apple-iphone-14-6-gb-512-gb-midnight-021.jpg
Apple iPhone 14 Pro Max 512 ГБ Чёрный Космос,"6.7"" | 48 Мп | 6 ГБ | Single SIM",37 499 лей,34 999 лей,darwin-apple-iphone-14-pro-max-6-gb-512-gb-space-black-050.jpg
Apple iPhone 14 Plus 256 ГБ Красный,"6.7"" | 12 Мп | 6 ГБ | Single SIM",22 499 лей,21 499 лей,darwin-apple-iphone-14-plus-6-gb-256-gb-red-065.jpg
Apple iPhone 14 512 ГБ Пурпурный,"6.1"" | 12 Мп | 6 ГБ | Single SIM",24 499 лей,23 499 лей,darwin-apple-iphone-14-6-gb-512-gb-purple-095.jpg
Apple iPhone 14 Pro Max 1 ТБ Чёрный Космос,"6.7"" | 48 Мп | 6 ГБ | Single SIM",42 999 лей,39 499 лей,darwin-apple-iphone-14-pro-max-6-gb-1-tb-space-black-028.jpg
Apple iPhone 14 Pro Max 128 ГБ Серебристый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",27 499 лей,26 999 лей,darwin-apple-iphone-14-pro-max-6-gb-128-gb-silver-058.jpg
Apple iPhone 14 Pro 256 ГБ Серебристый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",27 499 лей,26 999 лей,darwin-apple-iphone-14-pro-256-gb-silver-140272.jpg
Apple iPhone 14 Pro 128 ГБ Серебристый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",24 899 лей,24 399 лей,darwin-apple-iphone-14-pro-6-gb-128-gb-silver-082.jpg
Apple iPhone 14 Plus 512 ГБ Красный,"6.7"" | 12 Мп | 6 ГБ | Single SIM",26 999 лей,25 999 лей,darwin-apple-iphone-14-plus-6-gb-512-gb-red-030.jpg
Apple iPhone 14 Pro 128 ГБ Золото,"6.1"" | 48 Мп | 6 ГБ | Single SIM",24 899 лей,24 399 лей,darwin-apple-iphone-14-pro-6-gb-128-gb-gold-05.jpg
Apple iPhone 14 128 ГБ Красный,"6.1"" | 12 Мп | 6 ГБ | Single SIM",17 999 лей,16 999 лей,darwin-apple-iphone-14-6-gb-128-gb-red-045.jpg
Apple iPhone 14 Plus 512 ГБ Starlight,"6.7"" | 12 Мп | 6 ГБ | Single SIM",26 999 лей,25 999 лей,darwin-apple-iphone-14-plus-6-gb-512-gb-starlight-056.jpg
Apple iPhone 14 Pro Max 1 ТБ Серебристый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",42 999 лей,39 499 лей,darwin-apple-iphone-14-pro-max-6-gb-1-tb-silver-033.jpg
Apple iPhone 14 512 ГБ Красный,"6.1"" | 12 Мп | 6 ГБ | Single SIM",24 499 лей,23 499 лей,darwin-apple-iphone-14-512-gb-red-140559.jpg
Apple iPhone 14 Pro Max 256 ГБ Серебристый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",29 999 лей,29 499 лей,darwin-apple-iphone-14-pro-max-6-gb-256-gb-silver-013.jpg
Apple iPhone 14 Plus 512 ГБ Пурпурный,"6.7"" | 12 Мп | 6 ГБ | Single SIM",26 999 лей,25 999 лей,darwin-apple-iphone-14-plus-6-gb-512-gb-purple-069.jpg
Apple iPhone 14 Pro 1 ТБ Чёрный Космос,"6.1"" | 48 Мп | 6 ГБ | Single SIM",39 999 лей,36 499 лей,darwin-apple-iphone-14-pro-6-gb-1-tb-space-black-08.jpg
Apple iPhone 14 Pro 512 ГБ Чёрный Космос,"6.1"" | 48 Мп | 6 ГБ | Single SIM",34 499 лей,31 999 лей,darwin-apple-iphone-14-pro-6-gb-512-gb-space-black-051.jpg
Apple iPhone 14 512 ГБ Синий,"6.1"" | 12 Мп | 6 ГБ | Single SIM",24 499 лей,23 499 лей,darwin-apple-iphone-14-6-gb-512-gb-blue-088.jpg
Apple iPhone 14 Pro Max 1 ТБ Тёмно фиолетовый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",42 999 лей,39 499 лей,darwin-apple-iphone-14-pro-max-6-gb-1-tb-deep-purple-031.jpg
Apple iPhone 14 Pro Max 512 ГБ Золото,"6.7"" | 48 Мп | 6 ГБ | Single SIM",37 499 лей,34 999 лей,darwin-apple-iphone-14-pro-max-6-gb-512-gb-gold-046.jpg
Apple iPhone 14 Pro 1 ТБ Тёмно фиолетовый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",39 999 лей,36 499 лей,darwin-apple-iphone-14-pro-6-gb-1-tb-deep-purple-019.jpg
Apple iPhone 14 512 ГБ Starlight,"6.1"" | 12 Мп | 6 ГБ | Single SIM",24 499 лей,23 499 лей,darwin-apple-iphone-14-6-gb-512-gb-starlight-059.jpg
Apple iPhone 14 Plus 512 ГБ Midnight,"6.7"" | 12 Мп | 6 ГБ | Single SIM",26 999 лей,25 999 лей,darwin-apple-iphone-14-plus-6-gb-512-gb-midnight-041.jpg
Apple iPhone 14 Plus 256 ГБ Синий,"6.7"" | 12 Мп | 6 ГБ | Single SIM",22 499 лей,21 499 лей,darwin-apple-iphone-14-plus-6-gb-256-gb-blue-026.jpg
Apple iPhone 14 Pro 512 ГБ Серебристый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",34 499 лей,31 999 лей,darwin-apple-iphone-14-pro-6-gb-512-gb-silver-035.jpg
Apple iPhone 14 Pro 512 ГБ Золото,"6.1"" | 48 Мп | 6 ГБ | Single SIM",34 499 лей,31 999 лей,darwin-apple-iphone-14-pro-6-gb-512-gb-gold-060.jpg
Apple iPhone 14 Plus 512 ГБ Синий,"6.7"" | 12 Мп | 6 ГБ | Single SIM",26 999 лей,25 999 лей,darwin-apple-iphone-14-plus-6-gb-512-gb-blue-088.jpg
Apple iPhone 13 Pro Max 512 ГБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,39 999 лей,darwin-apple-iphone-13-pro-max-6-gb-512-gb-alpine-green-052.jpg
Apple iPhone 13 Pro 128 ГБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-green-081.jpg
Apple iPhone 13 Pro Max 256 ГБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,33 999 лей,darwin-apple-iphone-13-pro-max-6-gb-256-gb-dual-sim-green-050.jpg
Apple iPhone 13 Pro Max 128 ГБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-6-gb-128-gb-green-030.jpg
Apple iPhone 13 Pro 1 ТБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,41 999 лей,darwin-apple-iphone-13-pro-6-gb-1-tb-dual-sim-green-039.jpg
Apple iPhone 13 Pro 256 ГБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-6-gb-256-gb-dual-sim-green-013.jpg
Apple iPhone 13 Pro Max 1 ТБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,44 999 лей,darwin-apple-iphone-13-pro-max-6-gb-1-tb-green-024.jpg
Apple iPhone 13 Pro 512 ГБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,35 999 лей,apple-iphone-13-pro-6-gb-512-gb-green-3.jpg
Apple iPhone 13 512 ГБ Зелёный,"6.1"" | 12 Мп | 4 ГБ | Single SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-mini-4-gb-512-gb-green-010.jpg
Apple iPhone SE 2022 256 ГБ Красный,"4.7"" | 12 Мп | 4 ГБ | Single SIM",None,13 999 лей,darwin-apple-iphone-se-2022-4-gb-256-gb-red-023.jpg
Apple iPhone SE 2022 256 ГБ Midnight,"4.7"" | 12 Мп | 4 ГБ | Single SIM",None,13 999 лей,darwin-apple-iphone-se-2022-4-gb-256-gb-midnight-022.jpg
Apple iPhone 13 Pro 128 ГБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,27 499 лей,darwin-apple-iphone-13-pro-128-gb-alpine-green-82787.jpg
Apple iPhone 13 Pro 256 ГБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,29 499 лей,darwin-apple-iphone-13-pro-6-gb-256-gb-alpine-green-069.jpg
Apple iPhone 13 Pro Max 512 ГБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Single SIM",None,35 999 лей,darwin-apple-iphone-13-pro-max-6-gb-512-gb-green-05.jpg
Apple iPhone 13 Pro 1 ТБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,34 999 лей,darwin-apple-iphone-13-pro-6-gb-1-tb-alpine-green-010.jpg
Apple iPhone 13 mini 128 ГБ Зелёный,"5.4"" | 12 Мп | 4 ГБ | Single SIM",14 999 лей,13 999 лей,darwin-apple-iphone-13-mini-4-gb-128-gb-green-052.jpg
Apple iPhone 13 Pro Max 128 ГБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Single SIM",None,29 499 лей,darwin-apple-iphone-13-pro-max-6-gb-128-gb-green-036.jpg
Apple iPhone 13 Pro Max 1 ТБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Single SIM",None,37 999 лей,darwin-apple-iphone-13-pro-max-6-gb-1-tb-green-071.jpg
Apple iPhone 13 Pro Max 256 ГБ Альпийская зелень,"6.7"" | 12 Мп | 6 ГБ | Single SIM",None,32 999 лей,darwin-apple-iphone-13-pro-max-6-gb-256-gb-green-025.jpg
Apple iPhone 13 Pro 512 ГБ Альпийская зелень,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,32 999 лей,darwin-apple-iphone-13-pro-6-gb-512-gb-alpine-green-049.jpg
Apple iPhone SE 2022 128 ГБ Starlight,"4.7"" | 12 Мп | 4 ГБ | Single SIM",11 999 лей,11 699 лей,darwin-apple-iphone-se-2022-4-gb-128-gb-starlight-02.jpg
Apple iPhone SE 2022 64 ГБ Starlight,"4.7"" | 12 Мп | 4 ГБ | Single SIM",10 999 лей,10 499 лей,darwin-apple-iphone-se-2022-4-gb-64-gb-starlight-081.jpg
Apple iPhone SE 2022 64 ГБ Красный,"4.7"" | 12 Мп | 4 ГБ | Single SIM",10 999 лей,10 499 лей,darwin-apple-iphone-se-2022-4-gb-64-gb-red-072.jpg
Apple iPhone SE 2022 128 ГБ Красный,"4.7"" | 12 Мп | 4 ГБ | Single SIM",11 999 лей,11 699 лей,darwin-apple-iphone-se-2022-4-gb-128-gb-red-070.jpg
Apple iPhone SE 2022 128 ГБ Midnight,"4.7"" | 12 Мп | 4 ГБ | Single SIM",11 999 лей,11 699 лей,darwin-apple-iphone-se-2022-4-gb-128-gb-midnight-085.jpg
Apple iPhone SE 2022 64 ГБ Midnight,"4.7"" | 12 Мп | 4 ГБ | Single SIM",10 999 лей,10 499 лей,darwin-apple-iphone-se-2022-4-gb-64-gb-midnight-074.jpg
Apple XR 3 ГБ/ 128 ГБ Кораловый,"iOS, 6.1"", Single SIM, 128 ГБ, 12 Мп",12 999 лей,9 999 лей,darwin-apple-xr-3-gb-128-gb-coral-09.jpg
Apple iPhone 11 128 ГБ Зелёный,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",None,14 499 лей,darwin-apple-iphone-11-4-gb-128-gb-green-236853.jpg
Apple iPhone 13 512 ГБ Midnight,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",29 999 лей,28 499 лей,darwin-apple-iphone-13-4-gb-512-gb-midnight-059.jpg
Apple iPhone 13 Pro Max 1 ТБ Небесно Голубой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",46 999 лей,44 999 лей,darwin-apple-iphone-13-pro-max-6-gb-1-tb-sierra-dual-sim-blue-034.jpg
Apple iPhone 13 Pro Max 1 ТБ Серебристый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",46 999 лей,44 999 лей,darwin-apple-iphone-13-pro-max-6-gb-1-tb-dual-sim-silver-044.jpg
Apple iPhone 13 Pro Max 256 ГБ Серебристый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",35 999 лей,33 999 лей,darwin-apple-iphone-13-pro-max-256-gb-silver-244868.jpg
Apple iPhone 13 Pro Max 256 ГБ Графитовый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",35 999 лей,33 999 лей,darwin-apple-iphone-13-pro-max-256-gb-graphite-244876.jpg
Apple iPhone 13 Pro Max 512 ГБ Золотой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",41 999 лей,39 999 лей,darwin-apple-iphone-13-pro-max-6-gb-512-gb-dual-sim-gold-087.jpg
Apple iPhone 13 Pro Max 256 ГБ Золотой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",35 999 лей,33 999 лей,darwin-apple-iphone-13-pro-max-6-gb-256-gb-dual-sim-gold-047.jpg
Apple iPhone 13 Pro Max 512 ГБ Серебристый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",41 999 лей,39 999 лей,darwin-apple-iphone-13-pro-max-512-gb-silver-244881.jpg
Apple iPhone 13 Pro Max 256 ГБ Небесно Голубой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",35 999 лей,33 999 лей,darwin-apple-iphone-13-pro-max-6-gb-256-gb-dual-sim-blue-086.jpg
Apple iPhone 13 Pro Max 1 ТБ Золотой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",46 999 лей,44 999 лей,darwin-apple-iphone-13-pro-max-1-tb-gold-244896.jpg
Apple iPhone 13 Pro Max 512 ГБ Графитовый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",41 999 лей,39 999 лей,darwin-apple-iphone-13-pro-max-512-gb-graphite-244910.jpg
Apple iPhone 13 Pro Max 1 ТБ Графитовый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",46 999 лей,44 999 лей,darwin-apple-iphone-13-pro-max-6-gb-1-tb-dual-sim-graphite-039.jpg
Apple iPhone 13 Pro Max 512 ГБ Небесно Голубой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",41 999 лей,39 999 лей,darwin-apple-iphone-13-pro-max-512-gb-sierra-blue-245676.jpg
Apple iPhone 13 Pro Max 128 ГБ Графитовый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-128-gb-graphite-245682.jpg
Apple iPhone 13 Pro Max 128 ГБ Золотой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-6-gb-128-gb-dual-sim-gold-069.jpg
Apple iPhone 13 Pro Max 128 ГБ Небесно Голубой,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-128-gb-sierra-blue-179417.jpg
Apple iPhone 13 Pro Max 128 ГБ Серебристый,"6.7"" | 12 Мп | 6 ГБ | Dual SIM",None,29 999 лей,darwin-apple-iphone-13-pro-max-6-gb-128-gb-dual-sim-silver-065.jpg
Apple iPhone 13 Pro 1 ТБ Золотой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",42 999 лей,41 999 лей,darwin-apple-iphone-13-pro-1-tb-gold-245689.jpg
Apple iPhone 13 Pro 1 ТБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",42 999 лей,41 999 лей,darwin-apple-iphone-13-pro-6-gb-1-tb-dual-sim-graphite-022.jpg
Apple iPhone 13 Pro 1 ТБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",42 999 лей,41 999 лей,darwin-apple-iphone-13-pro-6-gb-1-tb-sierra-dual-sim-blue-044.jpg
Apple iPhone 13 Pro 512 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-512-gb-silver-245694.jpg
Apple iPhone 13 Pro 512 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-512-gb-graphite-245703.jpg
Apple iPhone 13 Pro 256 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-256-gb-silver-245710.jpg
Apple iPhone 13 Pro 512 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-512-gb-sierra-blue-246572.jpg
Apple iPhone 13 Pro 256 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-6-gb-256-gb-sierra-dual-sim-blue-055.jpg
Apple iPhone 13 Pro 256 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-256-gb-dual-sim-graphite-246586.jpg
Apple iPhone 13 Pro 512 ГБ Золотой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-6-gb-512-gb-dual-sim-gold-078.jpg
Apple iPhone 13 Pro 128 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-dual-sim-silver-037.jpg
Apple iPhone 13 Pro 128 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,darwin-apple-iphone-13-pro-128-gb-graphite-246592.jpg
